                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7263,                 1.7757,                 1.1416,                0.00337,                0.11998,                0.00189,                0.00064,                 3.2612,                    inf,                 1.7736,             0.00066506,             0.00066506,             0.00066506
                      2,                 2.7222,                 1.6069,                 1.1153,                0.44395,                0.37318,                0.34577,                0.10523,                 2.5727,                 1.5591,                 1.1049,              0.0013152,              0.0013152,              0.0013152
                      3,                 2.6381,                 1.5391,                 1.0948,                0.39429,                0.31154,                 0.2718,                0.08337,                  2.693,                 1.6922,                 1.1118,              0.0019489,              0.0019489,              0.0019489
                      4,                 2.5685,                 1.4661,                 1.0791,                0.39373,                0.37458,                0.32951,                0.09263,                 2.6516,                 1.5136,                 1.0918,              0.0019258,              0.0019258,              0.0019258
                      5,                 2.5044,                 1.4143,                 1.0645,                0.53023,                0.44525,                0.44401,                0.13954,                  2.434,                 1.3532,                 1.0604,               0.001901,               0.001901,               0.001901
                      6,                 2.4594,                 1.3578,                 1.0535,                0.58935,                 0.5319,                 0.5056,                0.16422,                 2.3211,                 1.2831,                  1.038,              0.0018763,              0.0018763,              0.0018763
                      7,                 2.4272,                 1.3261,                 1.0468,                0.52305,                0.45989,                 0.4489,                0.14574,                 2.4284,                 1.3551,                 1.0484,              0.0018515,              0.0018515,              0.0018515
                      8,                 2.4006,                 1.3043,                 1.0373,                0.58823,                0.52407,                0.52121,                0.17338,                 2.2988,                 1.2766,                 1.0249,              0.0018267,              0.0018267,              0.0018267
                      9,                 2.3624,                 1.2733,                 1.0301,                0.59846,                0.55791,                0.54874,                0.19137,                 2.2132,                 1.2024,                 1.0099,               0.001802,               0.001802,               0.001802
                     10,                 2.3523,                 1.2534,                 1.0276,                 0.6265,                 0.5577,                 0.5576,                0.19251,                 2.2389,                 1.1924,                 1.0154,              0.0017772,              0.0017772,              0.0017772
                     11,                 2.3145,                 1.2309,                 1.0213,                0.60923,                0.55963,                0.55586,                0.19046,                 2.2119,                 1.1865,                 1.0021,              0.0017525,              0.0017525,              0.0017525
                     12,                  2.291,                 1.2088,                 1.0167,                0.63419,                0.57021,                0.57889,                0.20803,                 2.1917,                 1.1526,                 1.0067,              0.0017278,              0.0017278,              0.0017278
                     13,                 2.2923,                 1.1984,                 1.0112,                0.60841,                0.54028,                0.55544,                0.19557,                 2.2178,                 1.1814,                 1.0076,               0.001703,               0.001703,               0.001703
                     14,                 2.2531,                 1.1841,                 1.0106,                0.66101,                0.59664,                0.60423,                0.21802,                 2.1632,                 1.0971,                0.99564,              0.0016783,              0.0016783,              0.0016783
                     15,                 2.2507,                 1.1759,                 1.0086,                0.59782,                0.54631,                0.55437,                0.19485,                 2.2268,                 1.1607,                 1.0044,              0.0016535,              0.0016535,              0.0016535
